fid,Longitude,Latitude,Z,SAMPLE_1
"1",77.25,8,,0
"2",77.5,8,,0
"3",77.75,8,,0
"4",77,8.25,,0
"5",77.25,8.25,,0
"6",77.5,8.25,,0
"7",77.75,8.25,,0
"8",78,8.25,,0
"9",78.25,8.25,,0
"10",76.75,8.5,,0
"11",77,8.5,,0
"12",77.25,8.5,,0.25
"13",77.5,8.5,,0.25
"14",77.75,8.5,,0
"15",78,8.5,,0
"16",78.25,8.5,,0
"17",76.5,8.75,,0
"18",76.75,8.75,,0
"19",77,8.75,,0.25
"20",77.25,8.75,,0.353553384542465
"21",77.5,8.75,,0.353553384542465
"22",77.75,8.75,,0.25
"23",78,8.75,,0
"24",78.25,8.75,,0
"25",76.5,9,,0
"26",76.75,9,,0.25
"27",77,9,,0.353553384542465
"28",77.25,9,,0.55901700258255
"29",77.5,9,,0.5
"30",77.75,9,,0.25
"31",78,9,,0
"32",76.25,9.25,,0
"33",76.5,9.25,,0
"34",76.75,9.25,,0.25
"35",77,9.25,,0.5
"36",77.25,9.25,,0.70710676908493
"37",77.5,9.25,,0.5
"38",77.75,9.25,,0.25
"39",78,9.25,,0
"40",78.25,9.25,,0
"41",78.5,9.25,,0
"42",78.75,9.25,,0
"43",79.25,9.25,,0
"44",76.25,9.5,,0
"45",76.5,9.5,,0.25
"46",76.75,9.5,,0.353553384542465
"47",77,9.5,,0.55901700258255
"48",77.25,9.5,,0.790569424629211
"49",77.5,9.5,,0.55901700258255
"50",77.75,9.5,,0.353553384542465
"51",78,9.5,,0.25
"52",78.25,9.5,,0.25
"53",78.5,9.5,,0.25
"54",78.75,9.5,,0
"55",79,9.5,,0
"56",79.25,9.5,,0
"57",76.25,9.75,,0
"58",76.5,9.75,,0.25
"59",76.75,9.75,,0.5
"60",77,9.75,,0.70710676908493
"61",77.25,9.75,,0.901387810707092
"62",77.5,9.75,,0.70710676908493
"63",77.75,9.75,,0.55901700258255
"64",78,9.75,,0.5
"65",78.25,9.75,,0.5
"66",78.5,9.75,,0.25
"67",78.75,9.75,,0
"68",76,10,,0
"69",76.25,10,,0
"70",76.5,10,,0.25
"71",76.75,10,,0.5
"72",77,10,,0.75
"73",77.25,10,,1
"74",77.5,10,,0.901387810707092
"75",77.75,10,,0.790569424629211
"76",78,10,,0.75
"77",78.25,10,,0.55901700258255
"78",78.5,10,,0.353553384542465
"79",78.75,10,,0.25
"80",79,10,,0
"81",76,10.25,,0
"82",76.25,10.25,,0
"83",76.5,10.25,,0.25
"84",76.75,10.25,,0.5
"85",77,10.25,,0.75
"86",77.25,10.25,,1
"87",77.5,10.25,,1.1180340051651
"88",77.75,10.25,,1.03077638149261
"89",78,10.25,,0.901387810707092
"90",78.25,10.25,,0.70710676908493
"91",78.5,10.25,,0.5
"92",78.75,10.25,,0.25
"93",79,10.25,,0
"94",79.25,10.25,,0
"95",76,10.5,,0
"96",76.25,10.5,,0.25
"97",76.5,10.5,,0.353553384542465
"98",76.75,10.5,,0.55901700258255
"99",77,10.5,,0.790569424629211
"100",77.25,10.5,,1.03077638149261
"101",77.5,10.5,,1.27475488185883
