Long,Lat,SAMPLE_1
68.28,23.64,"1"
68.28,23.76,"2"
68.28,23.88,"1"
68.4,23.76,"1"
68.4,23.88,"2"
68.52,23.52,"11"
68.52,23.64,"2"
68.52,23.88,"5"
68.64,23.28,"1"
68.64,23.4,"24"
68.64,23.52,"81"
68.64,23.64,"29"
68.64,23.76,"10"
68.64,23.88,"4"
68.76,23.16,"11"
68.76,23.28,"14"
68.76,23.4,"65"
68.76,23.52,"100"
68.76,23.64,"59"
68.76,23.76,"20"
68.76,23.88,"4"
68.76,24,"5"
68.88,23.04,"6"
68.88,23.16,"26"
68.88,23.28,"32"
68.88,23.4,"32"
68.88,23.52,"93"
68.88,23.64,"94"
68.88,23.76,"39"
68.88,23.88,"2"
68.88,24,"-1"
68.88,24.12,"-1"
69,22.2,"10"
69,22.32,"17"
69,23.04,"18"
69,23.16,"52"
69,23.28,"59"
69,23.4,"80"
69,23.52,"149"
69,23.64,"90"
69,23.76,"1"
69,23.88,"-1"
69,24,"-1"
69,24.12,"-1"
69.12,22.08,"28"
69.12,22.2,"12"
69.12,22.32,"10"
69.12,22.92,"7"
69.12,23.04,"45"
69.12,23.16,"79"
69.12,23.28,"108"
69.12,23.4,"121"
69.12,23.52,"69"
69.12,23.64,"28"
69.12,23.76,"-1"
69.12,23.88,
69.12,24,"2"
69.12,24.12,"1"
69.12,24.24,"3"
69.24,21.96,"18"
69.24,22.08,"25"
69.24,22.2,"16"
69.24,22.92,"29"
69.24,23.04,"105"
69.24,23.16,"129"
69.24,23.28,"186"
69.24,23.4,"181"
69.24,23.52,"37"
69.24,23.64,"4"
69.24,23.76,"4"
69.24,23.88,"2"
69.24,24,"2"
69.24,24.12,"2"
69.24,24.24,"3"
69.36,21.84,"18"
69.36,21.96,"16"
69.36,22.08,"50"
69.36,22.2,"39"
69.36,22.32,"2"
69.36,22.92,"33"
69.36,23.04,"87"
69.36,23.16,"170"
69.36,23.28,"139"
69.36,23.4,"104"
69.36,23.52,"11"
69.36,23.64,"3"
69.36,23.76,"2"
69.36,23.88,
69.36,24,"2"
69.36,24.12,"6"
69.36,24.24,"3"
69.48,21.84,"12"
69.48,21.96,"17"
69.48,22.08,"21"
69.48,22.2,"36"
69.48,22.32,"21"
69.48,22.8,"2"
69.48,22.92,"44"
69.48,23.04,"98"
69.48,23.16,"163"
69.48,23.28,"151"
69.48,23.4,"76"
69.48,23.52,"6"
69.48,23.64,"5"
69.48,23.76,"-1"
69.48,23.88,"5"
69.48,24,"3"
69.48,24.12,"5"
69.48,24.24,"5"
69.6,21.72,"21"
69.6,21.84,"26"
69.6,21.96,"31"
69.6,22.08,"55"
69.6,22.2,"49"
69.6,22.32,"5"
69.6,22.44,"2"
69.6,22.8,"8"
69.6,22.92,"37"
69.6,23.04,"95"
69.6,23.16,"178"
69.6,23.28,"124"
69.6,23.4,"77"
69.6,23.52,"4"
69.6,23.64,"7"
69.6,23.76,"6"
69.6,23.88,"12"
69.6,24,
69.6,24.12,"8"
69.6,24.24,
69.6,26.76,"49"
69.6,26.88,"70"
69.6,27,"61"
69.6,27.12,"70"
69.72,21.72,"61"
69.72,21.84,"394"
69.72,21.96,"58"
69.72,22.08,"102"
69.72,22.2,"69"
69.72,22.32,"32"
69.72,22.44,
69.72,22.8,"4"
69.72,22.92,"40"
69.72,23.04,"99"
69.72,23.16,"188"
69.72,23.28,"77"
69.72,23.4,"26"
69.72,23.52,"4"
69.72,23.64,"7"
69.72,23.76,"7"
69.72,23.88,"20"
69.72,24,"8"
69.72,24.12,"3"
69.72,26.76,"63"
69.72,26.88,"55"
69.72,27,"65"
69.72,27.12,"58"
69.72,27.24,"72"
69.84,21.48,"4"
69.84,21.6,"9"
69.84,21.72,"51"
69.84,21.84,"70"
69.84,21.96,"73"
69.84,22.08,"106"
69.84,22.2,"88"
69.84,22.32,"38"
69.84,22.44,"7"
69.84,22.92,"27"
69.84,23.04,"81"
69.84,23.16,"167"
69.84,23.28,"129"
69.84,23.4,"20"
69.84,23.52,"5"
69.84,23.64,"5"
69.84,23.76,"12"
69.84,23.88,"129"
69.84,24,"3"
69.84,24.12,"1"
69.84,26.64,"54"
69.84,26.76,"59"
69.84,26.88,"67"
69.84,27,"73"
69.84,27.12,"67"
69.84,27.24,"66"
69.84,27.36,"64"
69.96,21.36,"3"
69.96,21.48,"9"
69.96,21.6,"14"
69.96,21.72,"50"
69.96,21.84,"92"
69.96,21.96,"132"
69.96,22.08,"155"
69.96,22.2,"69"
69.96,22.32,"29"
69.96,22.44,"13"
69.96,22.56,"4"
69.96,22.92,"13"
69.96,23.04,"62"
69.96,23.16,"103"
69.96,23.28,"86"
69.96,23.4,"11"
69.96,23.52,"3"
69.96,23.64,"3"
69.96,23.76,"13"
69.96,23.88,"35"
69.96,24,"2"
69.96,24.12,"4"
69.96,26.64,"77"
69.96,26.76,"81"
69.96,26.88,"79"
69.96,27,"65"
69.96,27.12,"70"
69.96,27.24,"91"
69.96,27.36,"77"
69.96,27.48,"89"
70.08,21.24,"20"
70.08,21.36,"10"
70.08,21.48,"25"
70.08,21.6,"20"
70.08,21.72,"60"
70.08,21.84,"144"
70.08,21.96,"100"
70.08,22.08,"171"
70.08,22.2,"97"
70.08,22.32,"55"
70.08,22.44,"17"
70.08,22.92,"4"
70.08,23.04,"27"
70.08,23.16,"41"
70.08,23.28,"49"
70.08,23.4,"9"
70.08,23.52,"5"
70.08,23.64,"-1"
70.08,23.76,"3"
70.08,23.88,"1"
70.08,24,"-1"
70.08,24.12,"1"
70.08,26.64,"80"
70.08,26.76,"92"
70.08,26.88,"92"
70.08,27,"93"
70.08,27.12,"77"
70.08,27.24,"94"
70.08,27.36,"95"
70.08,27.48,"113"
70.08,27.6,"98"
70.2,21.12,"36"
70.2,21.24,"45"
70.2,21.36,"18"
70.2,21.48,"43"
70.2,21.6,"34"
70.2,21.72,"33"
70.2,21.84,"72"
70.2,21.96,"114"
70.2,22.08,"179"
70.2,22.2,"138"
70.2,22.32,"78"
70.2,22.44,"28"
70.2,22.56,"14"
70.2,23.04,"8"
70.2,23.16,"12"
70.2,23.28,"54"
70.2,23.4,
70.2,23.52,
70.2,23.64,
70.2,23.76,"4"
70.2,23.88,"9"
70.2,24,
70.2,24.12,"2"
70.2,24.24,"2"
70.2,25.92,"60"
70.2,26.04,"65"
70.2,26.16,"82"
70.2,26.28,"86"
70.2,26.4,"99"
70.2,26.52,"93"
70.2,26.64,"106"
70.2,26.76,"106"
70.2,26.88,"110"
70.2,27,"110"
70.2,27.12,"116"
70.2,27.24,"120"
70.2,27.36,"110"
70.2,27.48,"101"
70.2,27.6,"109"
70.2,27.72,"119"
70.2,27.84,"96"
70.32,21,"21"
70.32,21.12,"41"
70.32,21.24,"66"
70.32,21.36,"43"
70.32,21.48,"35"
70.32,21.6,"55"
70.32,21.72,"37"
70.32,21.84,"87"
70.32,21.96,"99"
70.32,22.08,"145"
70.32,22.2,"125"
70.32,22.32,"83"
70.32,22.44,"49"
70.32,22.56,"37"
70.32,22.68,"11"
70.32,22.8,"2"
70.32,23.04,"8"
70.32,23.16,"1"
70.32,23.28,"37"
70.32,23.4,"9"
70.32,23.52,"13"
70.32,23.64,"3"
70.32,23.76,"4"
70.32,23.88,"87"
70.32,24,"5"
70.32,24.12,"1"
70.32,24.24,"2"
70.32,25.8,"102"
70.32,25.92,"95"
70.32,26.04,"85"
70.32,26.16,"113"
70.32,26.28,"119"
70.32,26.4,"122"
70.32,26.52,"122"
70.32,26.64,"137"
70.32,26.76,"142"
70.32,26.88,"131"
70.32,27,"154"
70.32,27.12,"156"
70.32,27.24,"137"
70.32,27.36,"113"
70.32,27.48,"116"
70.32,27.6,"131"
70.32,27.72,"106"
70.32,27.84,"84"
70.32,27.96,"83"
70.44,20.88,"6"
70.44,21,"70"
70.44,21.12,"131"
70.44,21.24,"137"
70.44,21.36,"71"
70.44,21.48,"64"
70.44,21.6,"57"
70.44,21.72,"63"
70.44,21.84,"83"
70.44,21.96,"130"
70.44,22.08,"162"
70.44,22.2,"108"
70.44,22.32,"80"
70.44,22.44,"53"
70.44,22.56,"39"
70.44,22.68,"20"
70.44,22.8,"8"
70.44,22.92,"4"
70.44,23.04,"6"
70.44,23.16,"7"
70.44,23.28,"15"
70.44,23.4,"68"
70.44,23.52,"80"
70.44,23.64,"1"
70.44,23.76,"1"
70.44,23.88,"7"
70.44,24,"1"
70.44,24.12,"2"
70.44,24.24,"4"
70.44,24.36,"3"
70.44,25.68,"120"
70.44,25.8,"107"
70.44,25.92,"108"
70.44,26.04,"123"
70.44,26.16,"118"
70.44,26.28,"142"
70.44,26.4,"141"
70.44,26.52,"163"
70.44,26.64,"166"
70.44,26.76,"189"
70.44,26.88,"170"
70.44,27,"190"
70.44,27.12,"187"
70.44,27.24,"170"
70.44,27.36,"147"
70.44,27.48,"122"
70.44,27.6,"119"
70.44,27.72,"142"
70.44,27.84,"113"
70.44,27.96,"105"
70.56,20.88,"39"
70.56,21,"84"
70.56,21.12,"113"
70.56,21.24,"280"
70.56,21.36,"87"
70.56,21.48,"281"
70.56,21.6,"108"
70.56,21.72,"101"
70.56,21.84,"85"
70.56,21.96,"106"
70.56,22.08,"132"
70.56,22.2,"134"
70.56,22.32,"108"
70.56,22.44,"74"
70.56,22.56,"44"
70.56,22.68,"24"
70.56,22.8,"15"
70.56,22.92,"9"
70.56,23.04,"1"
70.56,23.16,"2"
70.56,23.28,"41"
70.56,23.4,"152"
70.56,23.52,"123"
70.56,23.64,"19"
70.56,23.76,"7"
70.56,23.88,"3"
70.56,24,"2"
70.56,24.12,"2"
70.56,24.24,"5"
70.56,24.36,"4"
70.56,25.8,"129"
70.56,25.92,"136"
70.56,26.04,"149"
70.56,26.16,"150"
70.56,26.28,"138"
70.56,26.4,"168"
70.56,26.52,"174"
70.56,26.64,"202"
70.56,26.76,"209"
70.56,26.88,"196"
70.56,27,"204"
70.56,27.12,"199"
70.56,27.24,"205"
70.56,27.36,"165"
70.56,27.48,"139"
70.56,27.6,"127"
70.56,27.72,"133"
70.56,27.84,"110"
70.56,27.96,"96"
70.68,20.76,"3"
70.68,20.88,"36"
70.68,21,"110"
70.68,21.12,"234"
70.68,21.24,"262"
70.68,21.36,"99"
70.68,21.48,"120"
70.68,21.6,"128"
70.68,21.72,"93"
70.68,21.84,"99"
70.68,21.96,"122"
70.68,22.08,"162"
70.68,22.2,"148"
70.68,22.32,"115"
70.68,22.44,"78"
70.68,22.56,"68"
70.68,22.68,"56"
70.68,22.8,"34"
70.68,22.92,"21"
70.68,23.04,"11"
70.68,23.16,"4"
70.68,23.28,"20"
70.68,23.4,"109"
70.68,23.52,"103"
70.68,23.64,"28"
70.68,23.76,"10"
70.68,23.88,"42"
70.68,24,
70.68,24.12,"1"
70.68,25.44,"167"
70.68,25.56,"150"
70.68,25.68,"175"
70.68,25.8,"155"
70.68,25.92,"179"
70.68,26.04,"194"
70.68,26.16,"171"
70.68,26.28,"175"
70.68,26.4,"187"
70.68,26.52,"211"
70.68,26.64,"224"
70.68,26.76,"222"
70.68,26.88,"190"
70.68,27,"206"
70.68,27.12,"211"
70.68,27.24,"219"
70.68,27.36,"172"
70.68,27.48,"133"
70.68,27.6,"128"
70.68,27.72,"136"
70.8,20.76,"22"
70.8,20.88,"42"
70.8,21,"147"
70.8,21.12,"225"
70.8,21.24,"276"
70.8,21.36,"161"
70.8,21.48,"157"
70.8,21.6,"149"
70.8,21.72,"127"
70.8,21.84,"118"
70.8,21.96,"139"
70.8,22.08,"170"
70.8,22.2,"160"
70.8,22.32,"121"
70.8,22.44,"123"
70.8,22.56,"91"
70.8,22.68,"69"
70.8,22.8,"52"
70.8,22.92,"30"
70.8,23.04,"14"
70.8,23.16,
70.8,23.28,"10"
70.8,23.4,"31"
70.8,23.52,"87"
70.8,23.64,"41"
70.8,23.76,"9"
70.8,23.88,"50"
70.8,24,"3"
70.8,24.12,"3"
70.8,25.32,"175"
70.8,25.44,"160"
70.8,25.56,"167"
70.8,25.68,"186"
70.8,25.8,"202"
70.8,25.92,"191"
70.8,26.04,"218"
70.8,26.16,"223"
70.8,26.28,"203"
70.8,26.4,"190"
70.8,26.52,"243"
70.8,26.64,"262"
70.8,26.76,"260"
70.8,26.88,"220"
70.8,27,"160"
70.8,27.12,"183"
70.8,27.24,"182"
70.8,27.36,"173"
70.8,27.48,"133"
70.8,27.6,"133"
70.92,20.76,"13"
70.92,20.88,"59"
70.92,21,"167"
70.92,21.12,"250"
70.92,21.24,"307"
70.92,21.36,"231"
70.92,21.48,"166"
70.92,21.6,"165"
70.92,21.72,"148"
70.92,21.84,"117"
70.92,21.96,"154"
70.92,22.08,"187"
70.92,22.2,"181"
70.92,22.32,"162"
70.92,22.44,"152"
70.92,22.56,"123"
70.92,22.68,"71"
70.92,22.8,"89"
70.92,22.92,"51"
70.92,23.04,"20"
70.92,23.16,"4"
70.92,23.28,"4"
70.92,23.4,"5"
70.92,23.52,"36"
70.92,23.64,"32"
70.92,23.76,"3"
70.92,23.88,"2"
70.92,24,"3"
70.92,24.12,"2"
70.92,24.24,"3"
70.92,25.08,"114"
70.92,25.2,"138"
70.92,25.32,"177"
70.92,25.44,"200"
70.92,25.56,"181"
70.92,25.68,"212"
70.92,25.8,"215"
70.92,25.92,"251"
70.92,26.04,"222"
70.92,26.16,"253"
70.92,26.28,"223"
70.92,26.4,"216"
70.92,26.52,"260"
70.92,26.64,"269"
70.92,26.76,"265"
70.92,26.88,"235"
70.92,27,"217"
70.92,27.12,"162"
70.92,27.24,"163"
70.92,27.36,"148"
70.92,27.48,"128"
70.92,27.6,"123"
71.04,20.76,"10"
71.04,20.88,"48"
71.04,21,"119"
71.04,21.12,"260"
71.04,21.24,"295"
71.04,21.36,"203"
71.04,21.48,"140"
