Longitude,Latitude
68.28,23.64
68.28,23.76
68.28,23.88
68.4,23.76
68.4,23.88
68.52,23.52
68.52,23.64
68.52,23.88
68.64,23.28
68.64,23.4
68.64,23.52
68.64,23.64
68.64,23.76
68.64,23.88
68.76,23.16
68.76,23.28
68.76,23.4
68.76,23.52
68.76,23.64
68.76,23.76
68.76,23.88
68.76,24
68.88,23.04
68.88,23.16
68.88,23.28
68.88,23.4
68.88,23.52
68.88,23.64
68.88,23.76
68.88,23.88
68.88,24
68.88,24.12
69,22.2
69,22.32
69,23.04
69,23.16
69,23.28
69,23.4
69,23.52
69,23.64
69,23.76
69,23.88
69,24
69,24.12
69.12,22.08
69.12,22.2
69.12,22.32
69.12,22.92
69.12,23.04
69.12,23.16
69.12,23.28
69.12,23.4
69.12,23.52
69.12,23.64
69.12,23.76
69.12,23.88
69.12,24
69.12,24.12
69.12,24.24
69.24,21.96
69.24,22.08
69.24,22.2
69.24,22.92
69.24,23.04
69.24,23.16
69.24,23.28
69.24,23.4
69.24,23.52
69.24,23.64
69.24,23.76
69.24,23.88
69.24,24
69.24,24.12
69.24,24.24
69.36,21.84
69.36,21.96
69.36,22.08
69.36,22.2
69.36,22.32
69.36,22.92
69.36,23.04
69.36,23.16
69.36,23.28
69.36,23.4
69.36,23.52
69.36,23.64
69.36,23.76
69.36,23.88
69.36,24
69.36,24.12
69.36,24.24
69.48,21.84
69.48,21.96
69.48,22.08
69.48,22.2
69.48,22.32
69.48,22.8
69.48,22.92
69.48,23.04
69.48,23.16
69.48,23.28
69.48,23.4
69.48,23.52
69.48,23.64
69.48,23.76
69.48,23.88
69.48,24
69.48,24.12
69.48,24.24
69.6,21.72
69.6,21.84
69.6,21.96
69.6,22.08
69.6,22.2
69.6,22.32
69.6,22.44
69.6,22.8
69.6,22.92
69.6,23.04
69.6,23.16
69.6,23.28
69.6,23.4
69.6,23.52
69.6,23.64
69.6,23.76
69.6,23.88
69.6,24
69.6,24.12
69.6,24.24
69.6,26.76
69.6,26.88
69.6,27
69.6,27.12
69.72,21.72
69.72,21.84
69.72,21.96
69.72,22.08
69.72,22.2
69.72,22.32
69.72,22.44
69.72,22.8
69.72,22.92
69.72,23.04
69.72,23.16
69.72,23.28
69.72,23.4
69.72,23.52
69.72,23.64
69.72,23.76
69.72,23.88
69.72,24
69.72,24.12
69.72,26.76
69.72,26.88
69.72,27
69.72,27.12
69.72,27.24
69.84,21.48
69.84,21.6
69.84,21.72
69.84,21.84
69.84,21.96
69.84,22.08
69.84,22.2
69.84,22.32
69.84,22.44
69.84,22.92
69.84,23.04
69.84,23.16
69.84,23.28
69.84,23.4
69.84,23.52
69.84,23.64
69.84,23.76
69.84,23.88
69.84,24
69.84,24.12
69.84,26.64
69.84,26.76
69.84,26.88
69.84,27
69.84,27.12
69.84,27.24
69.84,27.36
69.96,21.36
69.96,21.48
69.96,21.6
69.96,21.72
69.96,21.84
69.96,21.96
69.96,22.08
69.96,22.2
69.96,22.32
69.96,22.44
69.96,22.56
69.96,22.92
69.96,23.04
69.96,23.16
69.96,23.28
69.96,23.4
69.96,23.52
69.96,23.64
69.96,23.76
69.96,23.88
69.96,24
69.96,24.12
69.96,26.64
69.96,26.76
69.96,26.88
69.96,27
69.96,27.12
69.96,27.24
69.96,27.36
69.96,27.48
70.08,21.24
70.08,21.36
70.08,21.48
70.08,21.6
70.08,21.72
70.08,21.84
70.08,21.96
70.08,22.08
70.08,22.2
70.08,22.32
70.08,22.44
70.08,22.92
70.08,23.04
70.08,23.16
70.08,23.28
70.08,23.4
70.08,23.52
70.08,23.64
70.08,23.76
70.08,23.88
70.08,24
70.08,24.12
70.08,26.64
70.08,26.76
70.08,26.88
70.08,27
70.08,27.12
70.08,27.24
70.08,27.36
70.08,27.48
70.08,27.6
70.2,21.12
70.2,21.24
70.2,21.36
70.2,21.48
70.2,21.6
70.2,21.72
70.2,21.84
70.2,21.96
70.2,22.08
70.2,22.2
70.2,22.32
70.2,22.44
70.2,22.56
70.2,23.04
70.2,23.16
70.2,23.28
70.2,23.4
70.2,23.52
70.2,23.64
70.2,23.76
70.2,23.88
70.2,24
70.2,24.12
70.2,24.24
70.2,25.92
70.2,26.04
70.2,26.16
70.2,26.28
70.2,26.4
70.2,26.52
70.2,26.64
70.2,26.76
70.2,26.88
70.2,27
70.2,27.12
70.2,27.24
70.2,27.36
70.2,27.48
70.2,27.6
70.2,27.72
70.2,27.84
70.32,21
70.32,21.12
70.32,21.24
70.32,21.36
70.32,21.48
70.32,21.6
70.32,21.72
70.32,21.84
70.32,21.96
70.32,22.08
70.32,22.2
70.32,22.32
70.32,22.44
70.32,22.56
70.32,22.68
70.32,22.8
70.32,23.04
70.32,23.16
70.32,23.28
70.32,23.4
70.32,23.52
70.32,23.64
70.32,23.76
70.32,23.88
70.32,24
70.32,24.12
70.32,24.24
70.32,25.8
70.32,25.92
70.32,26.04
70.32,26.16
70.32,26.28
70.32,26.4
70.32,26.52
70.32,26.64
70.32,26.76
70.32,26.88
70.32,27
70.32,27.12
70.32,27.24
70.32,27.36
70.32,27.48
70.32,27.6
70.32,27.72
70.32,27.84
70.32,27.96
70.44,20.88
70.44,21
70.44,21.12
70.44,21.24
70.44,21.36
70.44,21.48
70.44,21.6
70.44,21.72
70.44,21.84
70.44,21.96
70.44,22.08
70.44,22.2
70.44,22.32
70.44,22.44
70.44,22.56
70.44,22.68
70.44,22.8
70.44,22.92
70.44,23.04
70.44,23.16
70.44,23.28
70.44,23.4
70.44,23.52
70.44,23.64
70.44,23.76
70.44,23.88
70.44,24
70.44,24.12
70.44,24.24
70.44,24.36
70.44,25.68
70.44,25.8
70.44,25.92
70.44,26.04
70.44,26.16
70.44,26.28
70.44,26.4
70.44,26.52
70.44,26.64
70.44,26.76
70.44,26.88
70.44,27
70.44,27.12
70.44,27.24
70.44,27.36
70.44,27.48
70.44,27.6
70.44,27.72
70.44,27.84
70.44,27.96
70.56,20.88
70.56,21
70.56,21.12
70.56,21.24
70.56,21.36
70.56,21.48
70.56,21.6
70.56,21.72
70.56,21.84
70.56,21.96
70.56,22.08
70.56,22.2
70.56,22.32
70.56,22.44
70.56,22.56
70.56,22.68
70.56,22.8
70.56,22.92
70.56,23.04
70.56,23.16
70.56,23.28
70.56,23.4
70.56,23.52
70.56,23.64
70.56,23.76
70.56,23.88
70.56,24
70.56,24.12
70.56,24.24
70.56,24.36
70.56,25.8
70.56,25.92
70.56,26.04
70.56,26.16
70.56,26.28
70.56,26.4
70.56,26.52
70.56,26.64
70.56,26.76
70.56,26.88
70.56,27
70.56,27.12
70.56,27.24
70.56,27.36
70.56,27.48
70.56,27.6
70.56,27.72
70.56,27.84
70.56,27.96
70.68,20.76
70.68,20.88
70.68,21
70.68,21.12
70.68,21.24
70.68,21.36
70.68,21.48
70.68,21.6
70.68,21.72
70.68,21.84
70.68,21.96
70.68,22.08
70.68,22.2
70.68,22.32
70.68,22.44
70.68,22.56
70.68,22.68
70.68,22.8
70.68,22.92
70.68,23.04
70.68,23.16
70.68,23.28
