Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis,,,,,,,,,,,Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis
77.25,8.25,85,0,0.234703037,0.290889284,0.208689105,,,Longitude,Latitude,Elevation (m),Distance (m),L-CV,L-Skew,L-kurtosis,,-0.370502019,-2.564260361,-0.520576008,-1.243235881,-0.231177331,0.722264414,0.207776046
77.5,8.25,64,0,0.259424736,0.305012629,0.249732691,,mean,79.4082136,23.46220244,735.3993137,497542.7776,0.253920658,0.242869725,0.195671608,,-0.327584346,-2.564260361,-0.537384291,-1.243235881,0.066211008,0.934694301,0.862884628
77.75,8.25,29,0,0.268116466,0.22875991,0.158459176,,SD,5.825106175,5.932393869,1249.38396,400199.8214,0.083129349,0.066484736,0.062651577,,-0.284666673,-2.564260361,-0.565398097,-1.243235881,0.170767704,-0.212226379,-0.593958421
77,8.5,32,0,0.193538936,0.161612345,0.136315733,,,,,,,,,,,-0.413419691,-2.522118857,-0.562996914,-1.243235881,-0.726358655,-1.222196017,-0.947396338
77.25,8.5,314,27784.75,0.250074169,0.256013856,0.198008009,,,,,,,,,,,-0.370502019,-2.522118857,-0.337285676,-1.173808689,-0.046271131,0.197701485,0.037291974
77.5,8.5,517,27784.75,0.248852001,0.269709398,0.216684473,,,,,,,,,,,-0.327584346,-2.522118857,-0.174805601,-1.173808689,-0.060973135,0.403696767,0.335392434
77.75,8.5,67,0,0.227974278,0.177415031,0.195437875,,,,,,,,,,,-0.284666673,-2.522118857,-0.534983108,-1.243235881,-0.312120573,-0.984507084,-0.00373068
78,8.5,17,0,0.259105389,0.130378433,0.167489314,,,,,,,,,,,-0.241749001,-2.522118857,-0.575002831,-1.243235881,0.062369441,-1.691986735,-0.449825769
76.75,8.75,38,0,0.192590827,0.142784769,0.207643569,,,,,,,,,,,-0.456337364,-2.479977353,-0.558194547,-1.243235881,-0.737763881,-1.50538246,0.191087942
77,8.75,77,27784.75,0.265628424,0.294885823,0.269299546,,,,,,,,,,,-0.413419691,-2.479977353,-0.526979163,-1.173808689,0.140837937,0.782376543,1.175196876
77.25,8.75,1377,39293.5696,0.235928268,0.263493706,0.228970293,,,,,,,,,,,-0.370502019,-2.479977353,0.513533635,-1.145051006,-0.216438481,0.310206256,0.531489971
77.5,8.75,58,39293.5696,0.253473324,0.300296369,0.26714099,,,,,,,,,,,-0.327584346,-2.479977353,-0.542186658,-1.145051006,-0.00538118,0.863756816,1.140743538
77.75,8.75,34,27784.75,0.245687056,0.216708325,0.17888699,,,,,,,,,,,-0.284666673,-2.479977353,-0.561396125,-1.173808689,-0.099045669,-0.393494828,-0.267904157
78,8.75,35,0,0.251264537,0.200447834,0.136632685,,,,,,,,,,,-0.241749001,-2.479977353,-0.560595731,-1.243235881,-0.031951664,-0.638069627,-0.942337376
76.75,9,74,27784.75,0.184089356,0.140841511,0.182645929,,,,,,,,,,,-0.456337364,-2.437835849,-0.529380347,-1.173808689,-0.840031866,-1.534611093,-0.207906641
77,9,65,39293.5696,0.223901817,0.234556986,0.191898371,,,,,,,,,,,-0.413419691,-2.437835849,-0.536583897,-1.145051006,-0.361110022,-0.125032291,-0.06022573
77.25,9,205,62128.59065,0.236818453,0.279624377,0.258757758,,,,,,,,,,,-0.370502019,-2.437835849,-0.424528672,-1.087991957,-0.205730049,0.552828426,1.00693634
77.5,9,130,55569.5,0.253615366,0.316774217,0.255520792,,,,,,,,,,,-0.327584346,-2.437835849,-0.484558257,-1.104381496,-0.003672493,1.111600891,0.955270187
77.75,9,78,27784.75,0.233699181,0.256730681,0.168170858,,,,,,,,,,,-0.284666673,-2.437835849,-0.526178769,-1.173808689,-0.243253163,0.208483283,-0.438947448
78,9,57,0,0.269794906,0.398709634,0.358861768,,,,,,,,,,,-0.241749001,-2.437835849,-0.542987053,-1.243235881,0.190958407,2.343995295,2.604725481
76.5,9.25,8,0,0.165902283,0.156178336,0.184032037,,,,,,,,,,,-0.499255037,-2.395694345,-0.582206381,-1.243235881,-1.058812276,-1.303929198,-0.185782569
