long,lat,Distance,Elevation,L-Mean,L-CV,L-Skew,L-Kurtosis,,,,,,,,,,,,,,,,,
77.5,8.25,0,64,83.12047317,0.259424736,0.305012629,0.249732691,,,,,,,,,,-0.344948725,-2.55403032,-1.230087901,-0.542541482,-0.125719193,0.071270698,0.858759587,0.768603198
77,8.75,0,77,86.80984731,0.265628424,0.294885823,0.269299546,,,,,,,,,,-0.430290078,-2.469750569,-1.230087901,-0.532243667,0.009398761,0.14520959,0.718194117,1.05407359
77.5,8.75,55569.5,58,73.33107744,0.253473324,0.300296369,0.26714099,,,,,,,,,,-0.344948725,-2.469750569,-1.091463769,-0.547294319,-0.484241551,0.000338567,0.793295382,1.022581363
78,8.75,0,35,88.67327824,0.251264537,0.200447834,0.136632685,,79.49785408,23.40364807,493178.9971,748.955288,86.55321565,0.253444917,0.24314472,0.197050704,-0.259607372,-2.469750569,-1.230087901,-0.565513529,0.077644204,-0.025986945,-0.592655559,-0.881467953
76.5,9.25,0,8,99.5393976,0.165902283,0.156178336,0.184032037,,5.837149389,5.937586466,401203.7883,1263.484697,27.30484031,0.083902907,0.07204334,0.068542502,-0.515631431,-2.385470818,-1.230087901,-0.586901297,0.475599996,-1.043380225,-1.207139812,-0.189935688
77,9.25,55569.5,285,67.45288039,0.224079758,0.288178637,0.274569175,,,,,,,,,,-0.430290078,-2.385470818,-1.091463769,-0.36747864,-0.699521955,-0.34998977,0.625094796,1.130954778
77.5,9.25,78587.13921,148,64.16955239,0.240440573,0.271522213,0.293749563,,,,,,,,,,-0.344948725,-2.385470818,-1.034043777,-0.476001759,-0.81976906,-0.154992773,0.393894744,1.410786813
78,9.25,55569.5,46,61.65846353,0.21365094,0.288279895,0.234103303,,,,,,,,,,-0.259607372,-2.385470818,-1.091463769,-0.556799994,-0.911734031,-0.474286035,0.626500312,0.540578434
78.5,9.25,0,16,81.44027008,0.313588188,0.343556509,0.36779252,,,,,,,,,,-0.174266019,-2.385470818,-1.230087901,-0.58056418,-0.187254183,0.716819867,1.393769207,2.491035627
76.5,9.75,0,30,113.8450187,0.169674419,0.147326314,0.180783062,,,,,,,,,,-0.515631431,-2.301191067,-1.230087901,-0.569474226,0.999522529,-0.998421878,-1.3300106,-0.237336569
77,9.75,55569.5,897,75.79552201,0.247632882,0.298042256,0.20161055,,,,,,,,,,-0.430290078,-2.301191067,-1.091463769,0.117310769,-0.393984858,-0.069270963,0.762007091,0.066525812
77.5,9.75,111139,439,66.13910445,0.190591723,0.12261377,0.094842387,,,,,,,,,,-0.344948725,-2.301191067,-0.952839638,-0.245489148,-0.747637085,-0.749118193,-1.673033897,-1.491166994
78,9.75,78587.13921,114,66.75231418,0.208453211,0.270292942,0.268037983,,,,,,,,,,-0.259607372,-2.301191067,-1.034043777,-0.502934504,-0.725179172,-0.536235367,0.376831807,1.035668032
78.5,9.75,55569.5,75,63.8060617,0.255956933,0.220956497,0.334061295,,,,,,,,,,-0.174266019,-2.301191067,-1.091463769,-0.533827946,-0.833081377,0.029939556,-0.307984374,1.998914333
79,9.75,0,6,96.62573998,0.228385626,0.287362351,0.337116112,,,,,,,,,,-0.088924666,-2.301191067,-1.230087901,-0.588485576,0.36889153,-0.298670118,0.613764311,2.043482549
76.5,10.25,0,65,120.9477638,0.185681182,0.261460429,0.262859382,,,,,,,,,,-0.515631431,-2.216911317,-1.230087901,-0.541749342,1.259650222,-0.807644663,0.254231814,0.960114896
77,10.25,55569.5,1335,89.34654104,0.27984164,0.326018309,0.22469894,,,,,,,,,,-0.430290078,-2.216911317,-1.091463769,0.464267894,0.102301473,0.314610347,1.150329634,0.403373595
77.5,10.25,111139,2083,67.32406125,0.244025487,0.267788772,0.178991713,,,,,,,,,,-0.344948725,-2.216911317,-0.952839638,1.056788282,-0.704239768,-0.112265838,0.342072591,-0.263471433
78,10.25,124257.1813,1191,79.41665393,0.250998936,0.283846177,0.312655144,,,,,,,,,,-0.259607372,-2.216911317,-0.920114915,0.350199798,-0.261366177,-0.02915252,0.56495794,1.686609556
