id,Longitude,Latitude
"15401",82.68,21.24
"15403",82.68,21.48
"15408",82.68,22.08
"15409",82.68,22.2
"15410",82.68,22.32
"15415",82.68,22.92
"15416",82.68,23.04
"15497",82.8,22.32
"15501",82.8,22.8
"15502",82.8,22.92
"15577",82.92,21.84
"15579",82.92,22.08
"15581",82.92,22.32
"15583",82.92,22.56
"15584",82.92,22.68
"15585",82.92,22.8
"15587",82.92,23.04
"15662",83.04,21.96
"15663",83.04,22.08
"15666",83.04,22.44
"15667",83.04,22.56
"15747",83.16,22.32
"15750",83.16,22.68
"15828",83.28,22.32
"15831",83.28,22.68
"15911",83.4,22.8
"15989",83.52,22.56
"15990",83.52,22.68
"16065",83.64,22.32
"16070",83.64,22.92
"16143",83.76,22.44
"16147",83.76,22.92
"16222",83.88,22.68
"16224",83.88,22.92
"16298",84,22.68
"16587",84.48,21.6
"16658",84.6,21.6
"15222",82.44,20.52
"15223",82.44,20.64
"15227",82.44,21.12
"15229",82.44,21.36
"15230",82.44,21.48
"15234",82.44,21.96
"15235",82.44,22.08
"15312",82.56,20.88
"15314",82.56,21.12
"15317",82.56,21.48
"15320",82.56,21.84
"15321",82.56,21.96
"15322",82.56,22.08
"14958",82.08,21.84
"14959",82.08,21.96
"14960",82.08,22.08
"14961",82.08,22.2
"14962",82.08,22.32
"14963",82.08,22.44
"14964",82.08,22.56
"14965",82.08,22.68
"15055",82.2,22.08
"15056",82.2,22.2
"15057",82.2,22.32
"15058",82.2,22.44
"15059",82.2,22.56
"15062",82.2,22.92
"15065",82.2,23.28
"15145",82.32,21.84
"15146",82.32,21.96
"15147",82.32,22.08
"15149",82.32,22.32
"15152",82.32,22.68
"15156",82.32,23.16
"15236",82.44,22.2
"15239",82.44,22.56
"15240",82.44,22.68
"15245",82.44,23.28
"15323",82.56,22.2
"15324",82.56,22.32
"15325",82.56,22.44
"15328",82.56,22.8
"15330",82.56,23.04
"15331",82.56,23.16
"15332",82.56,23.28
"13621",80.52,20.76
"13735",80.64,21
"13847",80.76,21.24
"13954",80.88,20.76
"13956",80.88,21
"13958",80.88,21.24
"14059",81,20.52
"14060",81,20.64
"14061",81,20.76
"14062",81,20.88
"14063",81,21
"14064",81,21.12
"14065",81,21.24
"14069",81,21.72
"14070",81,21.84
"14167",81.12,20.76
"14168",81.12,20.88
"14169",81.12,21
"14170",81.12,21.12
"14172",81.12,21.36
"14175",81.12,21.72
"14176",81.12,21.84
"14177",81.12,21.96
"14265",81.24,20.4
"14267",81.24,20.64
"14268",81.24,20.76
"14269",81.24,20.88
"14270",81.24,21
"14271",81.24,21.12
"14274",81.24,21.48
"14276",81.24,21.72
"14278",81.24,21.96
"14280",81.24,22.2
"14365",81.36,20.52
"14369",81.36,21
"14370",81.36,21.12
"14374",81.36,21.6
"14376",81.36,21.84
"14377",81.36,21.96
"14378",81.36,22.08
"14379",81.36,22.2
"14462",81.48,20.4
"14463",81.48,20.52
"14465",81.48,20.76
"14466",81.48,20.88
"14467",81.48,21
"14471",81.48,21.48
"14473",81.48,21.72
"14474",81.48,21.84
"14476",81.48,22.08
"14477",81.48,22.2
"14561",81.6,20.52
"14564",81.6,20.88
"14565",81.6,21
"14568",81.6,21.36
"14569",81.6,21.48
"14570",81.6,21.6
"14664",81.72,21.12
"14666",81.72,21.36
"14667",81.72,21.48
"14668",81.72,21.6
"14669",81.72,21.72
"14673",81.72,22.2
"14674",81.72,22.32
"14757",81.84,20.64
"14759",81.84,20.88
"14760",81.84,21
"14761",81.84,21.12
"14763",81.84,21.36
"14764",81.84,21.48
"14765",81.84,21.6
"14766",81.84,21.72
"14768",81.84,21.96
"14770",81.84,22.2
"14771",81.84,22.32
"14772",81.84,22.44
"14858",81.96,21.24
"14859",81.96,21.36
"14860",81.96,21.48
"14861",81.96,21.6
"14863",81.96,21.84
"14865",81.96,22.08
"14866",81.96,22.2
"14867",81.96,22.32
"14868",81.96,22.44
"14948",82.08,20.64
"14949",82.08,20.76
"14951",82.08,21
"14952",82.08,21.12
"14954",82.08,21.36
"15043",82.2,20.64
"15044",82.2,20.76
"15047",82.2,21.12
"15049",82.2,21.36
"15052",82.2,21.72
"15133",82.32,20.4
"15136",82.32,20.76
"15137",82.32,20.88
"15138",82.32,21
"14264",81.24,20.28
"14363",81.36,20.28
"14461",81.48,20.28
"14850",81.96,20.28
"14943",82.08,20.04
"14945",82.08,20.28
