id,Longitude,Latitude
"814",82.68,21.36
"815",82.68,21.48
"816",82.68,21.72
"817",82.68,21.84
"818",82.68,22.08
"819",82.68,22.2
"820",82.68,22.32
"821",82.68,22.8
"822",82.68,22.92
"823",82.68,23.04
"845",82.8,21.72
"846",82.8,21.96
"847",82.8,22.08
"848",82.8,22.2
"849",82.8,22.92
"850",82.8,23.04
"868",82.92,21.48
"869",82.92,21.72
"870",82.92,21.84
"871",82.92,22.08
"872",82.92,22.2
"873",82.92,22.32
"874",82.92,22.56
"875",82.92,22.68
"876",82.92,22.8
"878",82.92,23.04
"900",83.04,21.36
"901",83.04,21.48
"902",83.04,21.6
"903",83.04,21.72
"904",83.04,21.84
"905",83.04,21.96
"906",83.04,22.08
"907",83.04,22.2
"908",83.04,22.32
"909",83.04,22.44
"932",83.16,21.24
"933",83.16,21.36
"934",83.16,21.6
"935",83.16,21.96
"936",83.16,22.08
"937",83.16,22.2
"938",83.16,22.32
"939",83.16,22.44
"940",83.16,22.68
"963",83.28,21.6
"964",83.28,21.72
"965",83.28,22.2
"966",83.28,22.32
"967",83.28,22.68
"989",83.4,21.6
"990",83.4,22.32
"991",83.4,22.68
"1011",83.52,21.6
"1012",83.52,22.32
"1013",83.52,22.56
"1014",83.52,22.68
"1037",83.64,21.6
"1038",83.64,22.44
"1039",83.64,22.56
"1052",83.76,22.2
"1053",83.76,22.32
"1054",83.76,22.44
"1055",83.76,22.56
"1056",83.76,22.92
"1070",83.88,22.08
"1071",83.88,22.32
"1072",83.88,22.44
"1073",83.88,22.68
"1074",83.88,22.92
"1095",84,22.32
"1096",84,22.56
"1097",84,22.68
"1120",84.12,22.44
"1121",84.12,22.56
"1122",84.12,22.68
"1134",84.24,21.72
"1148",84.36,21.6
"1149",84.36,21.72
"1165",84.48,21.72
"1182",84.6,21.72
"763",82.44,20.52
"764",82.44,20.64
"765",82.44,21.48
"766",82.44,21.72
"767",82.44,21.96
"768",82.44,22.08
"790",82.56,21.6
"791",82.56,21.72
"792",82.56,21.84
"793",82.56,21.96
"794",82.56,22.08
"681",82.08,21.84
"682",82.08,21.96
"683",82.08,22.08
"684",82.08,22.2
"685",82.08,22.32
"686",82.08,22.44
"714",82.2,21.84
"715",82.2,21.96
"716",82.2,22.08
"717",82.2,22.2
"718",82.2,22.32
"719",82.2,22.44
"746",82.32,21.84
"747",82.32,21.96
"748",82.32,22.08
"749",82.32,22.32
"769",82.44,22.2
"770",82.44,22.32
"771",82.44,22.56
"772",82.44,22.68
"773",82.44,22.8
"774",82.44,22.92
"775",82.44,23.16
"776",82.44,23.28
"795",82.56,22.2
"796",82.56,22.32
"797",82.56,22.44
"798",82.56,22.68
"799",82.56,23.04
"800",82.56,23.16
"801",82.56,23.28
"824",82.68,23.16
"349",80.64,21
"350",80.64,21.12
"368",80.76,20.76
"369",80.76,20.88
"370",80.76,21
"371",80.76,21.24
"385",80.88,20.76
"386",80.88,21
"387",80.88,21.12
"388",80.88,21.24
"407",81,20.52
"408",81,20.76
"409",81,21
"410",81,21.12
"411",81,21.24
"412",81,21.72
"433",81.12,20.76
"434",81.12,21
"435",81.12,21.12
"436",81.12,21.36
"437",81.12,21.72
"462",81.24,20.76
"463",81.24,21
"464",81.24,21.12
"465",81.24,21.36
"466",81.24,21.72
"467",81.24,21.96
"468",81.24,22.2
"492",81.36,20.76
"493",81.36,21
"494",81.36,21.12
"495",81.36,21.36
"496",81.36,21.96
"497",81.36,22.08
"498",81.36,22.2
"499",81.36,22.32
"518",81.48,20.64
"519",81.48,20.88
"520",81.48,21
"521",81.48,21.36
"522",81.48,21.84
"523",81.48,21.96
"524",81.48,22.08
"525",81.48,22.2
"526",81.48,22.32
"545",81.6,20.76
"546",81.6,20.88
"547",81.6,21
"548",81.6,21.36
"549",81.6,21.6
"550",81.6,21.72
"551",81.6,21.84
"576",81.72,20.76
"577",81.72,20.88
"578",81.72,21
"579",81.72,21.48
"580",81.72,21.6
"581",81.72,21.72
"582",81.72,21.84
"608",81.84,20.64
"609",81.84,21
"610",81.84,21.12
"611",81.84,21.36
"612",81.84,21.48
"613",81.84,21.72
"614",81.84,21.84
"615",81.84,21.96
"616",81.84,22.2
"617",81.84,22.32
"638",81.96,21
"639",81.96,21.12
"640",81.96,21.24
"641",81.96,21.48
"642",81.96,21.6
"643",81.96,21.72
"644",81.96,21.84
"645",81.96,22.08
"646",81.96,22.2
"647",81.96,22.32
"648",81.96,22.44
"671",82.08,20.4
"672",82.08,20.52
"673",82.08,20.64
"674",82.08,20.76
"675",82.08,21
"676",82.08,21.12
"677",82.08,21.24
"678",82.08,21.36
"679",82.08,21.48
"680",82.08,21.6
"707",82.2,20.4
"708",82.2,20.64
"709",82.2,20.76
"710",82.2,20.88
"711",82.2,21.12
"712",82.2,21.48
"713",82.2,21.72
"739",82.32,20.4
"740",82.32,20.52
"741",82.32,20.64
"742",82.32,20.76
"743",82.32,21
"744",82.32,21.36
"745",82.32,21.48
"461",81.24,20.28
"670",82.08,20.28
