X	Feature Profile 1
0	696
42.5231390785	693
72.5916390786	692
115.114919579	691
145.183419579	690
187.706629369	690
230.229839158	688
260.298339159	687
290.366839159	687
320.43533916	687
350.503739159	687
393.02701966	687
435.550300159	685
478.07358066	684
520.596719739	681
550.665219739	681
580.733719739	681
610.802219739	679
640.870719738	680
683.393929528	680
725.917210028	677
755.985710028	677
798.508919818	677
828.577419817	677
858.645919818	676
901.169129607	676
931.237529608	675
961.306029608	675
991.374529607	673
1021.44302961	674
1063.96616869	674
1106.48944919	674
1149.01272969	675
1191.53601019	674
1221.60451019	674
1264.12771998	674
1306.65100048	674
1349.17428098	672
1379.24268098	671
1409.31118098	669
1451.83446148	670
1494.35767127	671
1536.88088106	671
1566.94938106	671
1597.01788106	671
1627.08638106	670
1669.60959085	670
1699.67809085	671
1729.74659085	671
1772.26987135	669
1802.33837135	667
1832.40677135	666
1862.47527135	666
1892.54377135	664
1922.61227135	664
1965.13541042	667
2007.65869093	669
2050.18197143	669
2080.25047143	668
2110.31887143	665
2140.38737143	665
2170.45587143	662
2200.52437143	663
2230.59277143	665
2260.66127143	667
2290.72977143	667
2320.79827143	665
2363.32148122	665
2405.844691	668
2448.3679715	668
2490.89125201	665
2520.95965201	665
2551.02815201	664
2581.09665201	664
2611.165152	665
2641.233652	665
2671.30205201	663
2701.37055201	662
2731.43905201	662
2761.50755201	662
2804.03076179	662
2846.55397158	663
2889.07725208	663
2931.60053259	661
2961.66903258	659
2991.73753259	660
3021.80593258	662
3051.87443259	662
3094.39764237	659
3124.46614237	657
3154.53454237	656
3197.05775216	658
3239.58103266	659
3282.10431316	659
3312.17271316	659
3342.24121316	658
3372.30971316	658
3402.37821316	659
3432.44661316	659
3462.51511316	658
3492.58361316	657
3522.65211316	657
3552.72051316	657
3582.78901316	656
3612.85751316	658
3655.38079366	658
3685.44919366	657
3715.51769367	654
3745.58619366	654
3775.65469366	655
3805.72319366	653
3835.79159366	652
3865.86009366	653
3895.92859366	654
3938.45187416	653
3980.97508395	652
4023.49836445	654
4066.02157424	653
4108.54485474	653
4151.06806453	653
4181.13656453	653
4211.20506453	654
4241.27356453	654
4271.34196453	654
4313.86524503	651
4343.93374503	650
4374.00224503	651
4416.52538411	651
4459.0485939	649
4489.1170939	648
4519.1855939	648
4549.2540939	648
4579.3224939	648
4621.84570369	648
4651.91420369	647
4694.43741348	644
4724.50581348	647
4754.57431348	647
4784.64281348	647
4827.16609398	646
4857.23449398	647
4887.30299398	645
4917.37149398	645
4959.89477448	645
4989.96317448	645
5020.03167448	644
5062.55488427	644
5105.07816477	644
5135.14656477	645
5177.66984527	645
5207.73824527	645
5250.26152577	643
5292.78480627	645
5335.30808677	645
5365.37648677	644
5395.44498677	644
5437.96826727	645
5480.49154778	645
5523.01475756	642
5553.08325756	642
5595.60646735	641
5625.67496735	642
5668.19817714	642
5710.72145764	642
5753.24473814	642
5795.76794793	641
5825.83644793	641
5868.35965772	641
5898.42815772	641
5928.49665772	640
5958.56515772	639
5988.63355772	639
6018.70205772	640
6048.77055772	639
6078.83905772	638
6108.90745772	638
6138.97595772	637
6169.04445772	637
6199.11295772	639
6229.18145772	641
6259.24985772	641
6289.31835772	640
6319.38685772	639
6349.45535772	639
6391.97856751	640
6434.50184801	638
6464.57034801	641
6494.63884801	641
6524.70724801	641
6567.23052851	641
6597.29902851	640
6627.36752851	640
6669.8907383	641
6699.9592383	641
6730.0277383	641
6760.0962383	640
6790.1646383	640
6820.2331383	640
6862.7564188	641
6905.2796993	641
6947.80290909	641
6977.87130909	640
7007.93980909	638
7038.00830909	640
7068.07680909	640
7110.60001888	640
7140.66851888	637
7170.73701888	637
7200.80551888	636
7230.87401888	637
7260.94241888	637
7303.46569938	636
7333.53419938	635
7363.60269938	634
7393.67109938	636
7423.73959938	638
7466.26280917	637
7508.78608967	634
7551.30929946	635
7593.83257996	638
7636.35578975	636
7666.42428975	637
7708.94757025	637
7739.01597025	637
7769.08447025	637
7799.15297025	636
7829.22147025	637
7871.74468004	635
7914.26796054	637
7956.79117033	637
7999.31445083	635
8029.38285083	633
8059.45135083	634
8101.97463133	635
8144.49791183	634
8174.56631183	633
8217.08952162	633
8259.61280212	632
8289.68130212	631
8319.74970212	631
8349.81820212	632
8392.34148262	632
8434.86469241	632
8477.3879022	632
8519.9111827	633
8562.4344632	632
8592.5029632	632
8635.0262437	632
8677.54945349	629
8720.07273399	628
8750.14123399	627
8780.20973399	628
8822.73294378	627
8852.80144378	625
8882.86994378	624
8912.93844378	623
8943.00684378	622
8985.53012428	624
9028.05333407	625
9070.57661457	626
9113.09982436	626
9143.16832436	625
9173.23682436	624
9203.30532436	623
9233.37372436	623
9275.89700486	621
9318.42028536	622
9360.94349515	624
9403.46677565	624
9445.98998544	622
9488.51326594	623
9531.03647573	626
9573.55975623	625
9603.62815623	625
9633.69665623	626
9676.21993673	626
9718.74321723	623
9761.26635631	620
9791.33485631	619
9833.85813681	620
9863.92663681	620
9906.4498466	619
9948.9731271	618
9979.0416271	617
10021.5648369	616
10051.6332369	616
10081.7017369	616
10111.7702369	616
10141.8387369	615
10171.9071369	615
10201.9756369	616
10232.0441369	615
10262.1126369	614
10304.6359174	613
10347.1591272	614
10389.6824077	614
10419.7509077	614
10449.8194077	614
10479.8878077	613
10509.9563077	613
10540.0248077	611
10582.5480175	612
10625.0712273	613
10655.1397273	612
10685.2082273	609
10715.2767273	609
10745.3451273	609
10775.4136273	610
10817.9369078	611
10848.0054078	611
10890.5286175	611
10933.0518273	612
10975.5751078	610
11005.6436078	609
11048.1668883	609
11090.6900981	609
11120.7585981	607
11150.8270981	607
